id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
123505,boardgame,1000 Bornes sur un Plateau,2008,1,4,30,30,30,5,10,6.125,0,31,0,0,0,4,0,0
40141,boardgame,Obama!  The Game,2008,2,4,30,30,30,0,4,4.25,0,5,1,2,4,0,0,0
12715,boardgame,De Bellis Renationis,1997,1,2,180,180,180,14,47,6.59894,5.55511,117,2,0,4,16,9,3.5556
140974,boardgame,Mages,2013,2,5,60,60,60,10,12,5.70833,0,28,2,0,2,4,4,1.75
26232,boardgame,Trimmel,1981,2,2,30,30,30,8,0,0,0,8,0,0,0,1,0,0
2771,boardgame,Maginor,2001,2,4,45,45,45,12,328,5.49909,5.49931,739,78,3,14,144,38,1.8684
184520,boardgame,Fianco,2005,2,2,20,20,20,8,1,7.5,0,2,0,0,0,1,0,0
201557,boardgame,Odyssey,0,1,4,30,15,30,5,1,10,0,1,0,0,1,0,0,0
155526,boardgame,Super-Chex,1948,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38719,boardgame,PQ-17,1975,2,2,120,120,120,0,1,5,0,9,1,1,1,0,0,0
186715,boardgameexpansion,Manhattan TraffIQ: East River,2015,2,4,60,30,60,8,3,6.66667,0,9,0,1,1,0,0,0
23231,boardgame,Hex-Chex,1985,2,2,30,30,30,10,1,6,0,1,0,3,4,2,0,0
24762,boardgame,Medici vs Strozzi,2006,2,2,30,30,30,10,1538,6.52968,6.14922,1808,115,53,205,676,194,2.4485
76544,boardgame,Shakin' Scarecrow,2009,2,4,0,0,0,4,0,0,0,1,0,0,0,1,0,0
66351,boardgame,Wali,0,2,2,15,15,15,7,1,7,0,2,0,0,0,0,0,0
169352,boardgame,Na gruzińskim szlaku,2014,2,4,45,45,45,10,0,0,0,1,0,0,0,0,0,0
165762,boardgame,Alarm,1962,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
64603,boardgame,Diamantenraub,2009,2,4,30,30,30,4,5,4.5,0,9,2,0,0,1,2,1.5
179718,boardgame,Black-Handed Henry's Potion Party,2015,2,4,60,20,60,7,30,5.75667,5.49332,111,2,1,3,6,2,1.5
4725,boardgame,By Force Of Arms,1994,2,2,120,120,120,12,6,6.1,0,18,2,0,2,3,1,3
122838,boardgame,Goalmouth Scramble,1992,1,2,0,0,0,0,1,3,0,1,0,0,1,0,0,0
66153,boardgame,The Team,2009,2,2,30,30,30,10,0,0,0,2,0,0,0,0,0,0
182300,boardgameexpansion,Operation Iron Fist,2015,1,2,30,15,30,12,1,7,0,5,0,0,1,0,1,2
60294,boardgameexpansion,Gold War,2009,3,5,20,20,20,9,4,6.875,0,31,1,1,2,2,0,0
62216,boardgame,Tomorrow A Corps,2009,1,2,0,0,0,0,1,6.5,0,5,0,1,0,2,0,0
163030,boardgameexpansion,Gettysburg: Devil's Den,2014,2,2,120,120,120,12,0,0,0,4,1,0,1,0,0,0
195210,boardgameexpansion,Legend: Winds of war 1934-1940,2016,1,6,240,90,240,15,2,5.5,0,6,0,3,5,1,0,0
203068,boardgame,Tarántula,0,2,4,0,0,0,4,0,0,0,1,1,0,0,0,0,0
104640,boardgame,Robin Hood,2011,3,5,50,50,50,14,182,7.1592,5.77207,251,12,49,120,48,17,1.4706
20189,boardgameexpansion,Convoy: A Programmed Car Wars Adventure,1984,1,6,0,0,0,10,27,6.43333,0,122,3,2,6,8,2,2
214822,boardgame,"No Retreat 5: The Western Front, 1944-45",0,2,2,480,180,480,14,2,9.5,0,0,0,1,18,0,0,0
189016,boardgame,Topsy Turvy Card Game,2008,2,2,0,0,0,7,0,0,0,1,0,0,0,0,0,0
1701,boardgame,Toscana,2001,2,2,20,20,20,10,320,5.64484,5.54341,571,53,11,19,106,26,1.5385
181476,boardgame,Grandpa Beck's Nuts about Mutts,2015,3,8,0,30,0,5,7,6.27143,0,35,0,1,1,7,1,1
186271,boardgame,Felix The Cat's Dandy Candy Game,1957,2,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0
143661,boardgame,Buffalo Bill,1898,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
162543,boardgameexpansion,+6 Bag O' Munchkin Legends,2014,0,0,0,0,0,0,11,6.77273,0,110,2,3,23,3,1,1
114202,boardgame,Dartabout,1930,2,4,30,30,30,7,1,3,0,1,1,0,1,0,0,0
137497,boardgame,"Operation Skorpion: Rommel's First Strike – Halfaya Pass, May 1941",2013,2,2,200,200,200,0,14,6.17857,0,90,5,2,9,10,4,2.5
